date,country,total_vaccinations,people_vaccinated,total_vaccinations_per_hundred,people_vaccinated_per_hundred,daily_vaccinations_raw,daily_vaccinations,daily_vaccinations_per_million,people_fully_vaccinated,people_fully_vaccinated_per_hundred
2021-02-03,Israel,5277055.0,3311696.0,60.97,38.26,111211.0,121310.0,14015.0,1965359.0,22.71
2021-02-03,USA,33878254.0,27154956.0,10.13,8.12,1097394.0,1317946.0,3941.0,6436931.0,1.92
2021-02-04,USA,35203710.0,27905197.0,10.53,8.34,1325456.0,1287147.0,3849.0,6926050.0,2.07
2021-02-04,Israel,5407248.0,3384043.0,62.47,39.1,130193.0,109976.0,12706.0,2023205.0,23.37
2021-02-05,Israel,5469634.0,3417797.0,63.19,39.49,62386.0,104450.0,12067.0,2051837.0,23.71
2021-02-05,USA,36819212.0,28909497.0,11.01,8.64,1615502.0,1276364.0,3816.0,7503864.0,2.24
2021-02-06,Israel,5513265.0,3439311.0,63.7,39.74,43631.0,99697.0,11518.0,2073954.0,23.96
2021-02-06,USA,39037964.0,30250964.0,11.67,9.05,2218752.0,1351437.0,4041.0,8317180.0,2.49
2021-02-07,USA,41210937.0,31579100.0,12.32,9.44,2172973.0,1441091.0,4309.0,9147185.0,2.74
2021-02-07,Israel,5635628.0,3493213.0,65.11,40.36,122363.0,98263.0,11353.0,2142415.0,24.75
2021-02-08,Israel,5759186.0,3551639.0,66.54,41.03,123558.0,99147.0,11455.0,2207547.0,25.5
2021-02-08,USA,42417617.0,32340146.0,12.68,9.67,1206680.0,1456459.0,4355.0,9518015.0,2.85
2021-02-09,Israel,5892428.0,3617729.0,68.08,41.8,133242.0,103798.0,11992.0,2274699.0,26.28
2021-02-09,USA,43206190.0,32867213.0,12.92,9.83,788573.0,1489333.0,4453.0,9840429.0,2.94
2021-02-10,Israel,6034525.0,3688013.0,69.72,42.61,142097.0,108210.0,12502.0,2346512.0,27.11
2021-02-10,USA,44769970.0,33783384.0,13.39,10.1,1563780.0,1555959.0,4652.0,10469514.0,3.13
2021-02-11,Israel,6186766.0,3768903.0,71.48,43.54,152241.0,111360.0,12866.0,2417863.0,27.93
2021-02-11,USA,46390270.0,34723964.0,13.87,10.38,1620300.0,1598080.0,4778.0,11188782.0,3.35
2021-02-12,Israel,6263061.0,3807813.0,72.36,43.99,76295.0,113347.0,13095.0,2455248.0,28.37
2021-02-12,USA,48410558.0,35834855.0,14.48,10.71,2020288.0,1655907.0,4951.0,12085830.0,3.61
2021-02-13,Israel,6320747.0,3835178.0,73.03,44.31,57686.0,115355.0,13327.0,2485569.0,28.72
2021-02-13,USA,50641884.0,37056122.0,15.14,11.08,2231326.0,1657703.0,4957.0,13082172.0,3.91
2021-02-14,Israel,6464141.0,3909778.0,74.68,45.17,143394.0,118359.0,13674.0,2554363.0,29.51
2021-02-14,USA,52884356.0,38292270.0,15.81,11.45,2242472.0,1667631.0,4986.0,14077440.0,4.21
2021-02-15,Israel,6620782.0,3991059.0,76.49,46.11,156641.0,123085.0,14220.0,2629723.0,30.38
2021-02-15,USA,0.0,0.0,0.0,0.0,0.0,1662106.0,4970.0,0.0,0.0
2021-02-16,USA,55220364.0,39670551.0,16.51,11.86,0.0,1716311.0,5132.0,15015434.0,4.49
2021-02-16,Israel,6781986.0,4074305.0,78.35,47.07,161204.0,127080.0,14682.0,2707681.0,31.28
2021-02-17,Israel,6918938.0,4136011.0,79.94,47.78,136952.0,126345.0,14597.0,2782927.0,32.15
2021-02-17,USA,56281827.0,40268009.0,16.83,12.04,1061463.0,1644551.0,4917.0,15471536.0,4.63
2021-02-18,Israel,7067237.0,4204915.0,81.65,48.58,148299.0,125782.0,14532.0,2862322.0,33.07
2021-02-18,USA,57737767.0,41021049.0,17.26,12.27,1455940.0,1621071.0,4847.0,16162358.0,4.83
2021-02-19,Israel,7144694.0,4244423.0,82.54,49.04,77457.0,125948.0,14551.0,2900271.0,33.51
2021-02-19,USA,59585043.0,41977401.0,17.82,12.55,1847276.0,1596355.0,4773.0,17039118.0,5.09
2021-02-20,Israel,7204854.0,4275973.0,83.24,49.4,60160.0,126301.0,14592.0,2928881.0,33.84
2021-02-20,USA,61289500.0,42809595.0,18.33,12.8,1704457.0,1521088.0,4548.0,17895667.0,5.35
2021-02-21,Israel,7362306.0,4355171.0,85.06,50.32,157452.0,128309.0,14824.0,3007135.0,34.74
2021-02-21,USA,63090634.0,43628092.0,18.86,13.05,1801134.0,1458040.0,4360.0,18865319.0,5.64
2021-02-22,Israel,7527218.0,4439953.0,86.96,51.3,164912.0,129491.0,14960.0,3087265.0,35.67
2021-02-22,USA,64177474.0,44138118.0,19.19,13.2,1086840.0,1446445.0,4325.0,19438495.0,5.8100000000000005
2021-02-23,USA,65032083.0,44544969.0,19.44,13.32,854609.0,1401674.0,4191.0,19882544.0,5.94
2021-02-23,Israel,7674324.0,4517058.0,88.66,52.19,147106.0,127477.0,14728.0,3157266.0,36.48
2021-02-24,USA,66464947.0,45237143.0,19.87,13.53,1432864.0,1454731.0,4350.0,20607261.0,6.16
2021-02-24,Israel,7797782.0,4577851.0,90.09,52.89,123458.0,125549.0,14505.0,3219931.0,37.2
2021-02-25,Israel,7913656.0,4629303.0,91.43,53.48,115874.0,120917.0,13970.0,3284353.0,37.95
2021-02-25,USA,68274117.0,46074392.0,20.41,13.78,1809170.0,1505193.0,4501.0,21555117.0,6.45
2021-02-26,Israel,7971099.0,4654969.0,92.09,53.78,57443.0,118058.0,13640.0,3316130.0,38.31
2021-02-26,USA,70454064.0,47184199.0,21.07,14.11,2179947.0,1552717.0,4643.0,22613359.0,6.76
2021-02-27,USA,72806180.0,48435536.0,21.77,14.48,2352116.0,1645240.0,4919.0,23698627.0,7.09
2021-02-27,Israel,8010389.0,4673197.0,92.55,53.99,39290.0,115076.0,13295.0,3337192.0,38.56
2021-02-28,USA,75236003.0,49772180.0,22.5,14.88,2429823.0,1735053.0,5188.0,24779920.0,7.41
2021-02-28,Israel,8106168.0,4713442.0,93.65,54.46,95779.0,106266.0,12277.0,3392726.0,39.2
2021-03-01,USA,76899987.0,50732997.0,22.99,15.17,1663984.0,1817502.0,5434.0,25466405.0,7.61
2021-03-01,Israel,8212847.0,4758942.0,94.89,54.98,106679.0,97947.0,11316.0,3453905.0,39.9
2021-03-02,USA,78631601.0,51755447.0,23.51,15.48,1731614.0,1942788.0,5809.0,26162122.0,7.82
2021-03-02,Israel,8318108.0,4799848.0,96.1,55.45,105261.0,91969.0,10625.0,3518260.0,40.65
2021-03-03,USA,80540474.0,52855579.0,24.08,15.8,1908873.0,2010790.0,6012.0,26957804.0,8.06
2021-03-03,Israel,8426458.0,4841908.0,97.35,55.94,108350.0,89811.0,10376.0,3584550.0,41.41
2021-03-04,Israel,8541719.0,4880464.0,98.68,56.39,115261.0,89723.0,10366.0,3661255.0,42.3
2021-03-04,USA,82572848.0,54035670.0,24.69,16.16,2032374.0,2042676.0,6108.0,27795980.0,8.31
2021-03-05,USA,85008094.0,55547697.0,25.42,16.61,2435246.0,2079147.0,6217.0,28701201.0,8.58
2021-03-05,Israel,8599165.0,4897643.0,99.35,56.58,57446.0,89724.0,10366.0,3701522.0,42.76
2021-03-06,USA,87912323.0,57358849.0,26.29,17.15,2904229.0,2158020.0,6453.0,29776160.0,8.9
2021-03-06,Israel,8635070.0,4908320.0,99.76,56.71,35905.0,89240.0,10310.0,3726750.0,43.06
2021-03-07,Israel,8738566.0,4939304.0,100.96,57.07,103496.0,90343.0,10438.0,3799262.0,43.89
2021-03-07,USA,90351750.0,58873710.0,27.02,17.6,2439427.0,2159392.0,6457.0,30686881.0,9.18
2021-03-08,Israel,8838696.0,4966680.0,102.12,57.38,100130.0,89407.0,10329.0,3872016.0,44.73
2021-03-08,USA,92089852.0,60005231.0,27.54,17.94,1738102.0,2169981.0,6488.0,31493040.0,9.42
2021-03-09,USA,93692598.0,61088527.0,28.01,18.27,1602746.0,2151571.0,6433.0,32102061.0,9.6
2021-03-09,Israel,8941549.0,4993197.0,103.3,57.69,102853.0,89063.0,10290.0,3948352.0,45.62
2021-03-10,USA,95721290.0,62451150.0,28.62,18.67,2028692.0,2168688.0,6485.0,32904161.0,9.84
2021-03-10,Israel,9023004.0,5016268.0,104.25,57.95,81455.0,85221.0,9846.0,4006736.0,46.29
2021-03-11,Israel,9114841.0,5039351.0,105.31,58.22,91837.0,81875.0,9459.0,4075490.0,47.09
